unit_id,unit_name,attack,skill1,skill2,skillsp1
112301,シオリ（マジカル）,90,143,360,0
112401,ウヅキ（デレマス）,71,140,155,0
112501,リン（デレマス）,71,161,161,0
112601,ミオ（デレマス）,84,150,156,0
112701,リン（レンジャー）,71,200,161,0
112801,マヒル（レンジャー）,71,161,161,0
112901,リノ（ワンダー）,90,161,150,0
113001,アユミ（ワンダー）,71,161,150,0
113101,ルカ（サマー）,71,161,140,0
113201,アンナ（サマー）,90,161,125,0
113301,ナナカ（サマー）,84,161,161,0
113401,ハツネ（サマー）,71,180,161,0
113501,ミサト（サマー）,84,161,161,0
113601,ジュン（サマー）,68,161,161,0
113701,アカリ（エンジェル）,84,161,170,0
113801,ヨリ（エンジェル）,71,150,161,0
113901,ツムギ（ハロウィン）,65,161,150,0
114001,レイ（ハロウィン）,71,161,150,0
114101,マツリ（ハロウィン）,62,90,161,0
114201,モニカ（マジカル）,71,156,158,0
114301,トモ（マジカル）,71,161,161,71
114401,アキノ（クリスマス）,68,161,128,128
114501,サレン（クリスマス）,71,161,161,0
114601,ユカリ（クリスマス）,68,161,146,0
114701,ムイミ（ニューイヤー）,65,0,108,0
115001,ネネカ（ニューイヤー）,84,161,161,0
115501,コッコロ（儀装束）,65,150,161,0
115601,ユイ（儀装束）,84,161,161,0
115701,カスミ（サマー）,84,161,161,0
115801,リマ（シンデレラ）,71,137,140,0
115901,マコト（シンデレラ）,68,161,161,0
116001,マホ（シンデレラ）,84,161,161,0
116201,クロエ（聖学祭）,65,161,161,0
116301,チエル（聖学祭）,62,119,119,0
116401,ユニ（聖学祭）,84,161,150,84
116501,イノリ（タイムトラベル）,92,158,161,0
116601,カヤ（タイムトラベル）,62,110,150,0
116701,アオイ（作業服）,90,161,161,0
116801,タマキ（作業服）,65,107,158,0
116901,ミフユ（作業服）,71,161,161,0
117001,エリコ（サマー）,92,146,180,0
117101,シズル（サマー）,68,161,152,0
117201,ノゾミ（サマー）,71,161,161,0
117301,チカ（サマー）,84,146,161,0
117401,ツムギ（サマー）,62,161,161,0
117501,ミツキ（オーエド）,68,161,161,0
117601,ユキ（オーエド）,84,161,146,0
117701,カオリ（ハロウィン）,62,161,161,0
117801,ニノン（ハロウィン）,65,131,180,0
117901,スズナ（ハロウィン）,90,161,134,0
118001,クレジッタ,71,144,134,0
118101,ランファ,84,161,161,101
118201,ミソラ,68,161,152,131
118501,カリン,90,161,161,90
118601,ネビア,83,161,161,101
119001,イオ（ノワール）,84,156,140,0
119101,クウカ（ノワール）,71,161,161,0
119201,マヒル（クリスマス）,71,161,161,0
119301,リノ（クリスマス）,90,161,161,0
119901,ミヤコ（クリスマス）,62,161,180,0
120001,シズル（ノワール）,68,150,140,0
120701,シェフィ（ニューイヤー）,71,161,110,0
120801,ルカ（ニューイヤー）,71,161,140,161
120901,イリヤ（ニューイヤー）,92,161,161,0
121001,ペコリーヌ（オーバーロード）,68,161,161,0
121101,キャル（オーバーロード）,84,161,161,0
121201,ラビリスタ（オーバーロード）,71,161,134,74
121301,クルミ（ステージ）,92,140,161,0
121401,ミサキ（ステージ）,84,161,161,0
121501,アユミ（怪盗）,71,260,161,0
121601,イノリ（怪盗）,92,161,161,0
121901,アンナ（パイレーツ）,68,161,161,0
122001,シノブ（パイレーツ）,92,161,161,98
122101,アオイ（キャンプ）,71,161,161,0
122201,ユカリ（キャンプ）,71,144,161,0
122301,ヴァンピィ,71,161,140,0
122401,ヒヨリ（サマー）,62,161,161,0
122501,レイ（サマー）,71,161,155,0
122601,ユイ（サマー）,84,161,161,0
122701,キョウカ（サマー）,84,161,155,110
122801,ミソギ（サマー）,62,140,161,0
122901,ミミ（サマー）,68,161,161,0
123001,アメス,83,161,161,83
123101,マホ（エクスプローラー）,84,161,144,0
123201,アヤネ（エクスプローラー）,92,150,161,0
123301,ネア,62,161,161,0
123401,ジュン（キャンプ）,68,0,0,0
123501,リン（ハロウィン）,71,144,161,0
123601,トモ（ハロウィン）,71,143,161,0
123701,ナナカ（ハロウィン）,84,143,161,0
123801,クリスティーナ（ワイルド）,62,0,150,0
123901,マツリ（ワイルド）,65,161,161,0
124001,アカリ（クリスマス）,84,161,161,0
124101,ヨリ（クリスマス）,71,161,161,0
124201,ジュン（クリスマス）,68,155,161,0
124501,ホマレ（ニューイヤー）,84,128,126,0
124601,ミサト（ニューイヤー）,84,158,161,0
124701,ミツキ（ニューイヤー）,68,149,122,0
124801,ノゾミ（リベレイター）,71,158,143,0
124901,カヤ（リベレイター）,62,150,140,0
125001,ムイミ（リベレイター）,68,161,144,0
125101,タマキ（カフェ）,65,161,161,0
125201,モニカ（カフェ）,71,155,60,0
125301,コッコロ（レンジャー）,71,170,161,0
125401,シオリ（レンジャー）,90,180,161,0
125501,ジータ（ウォーロック）,84,161,101,0
125601,ビカラ,120,161,161,0
125701,カリン（アルケミスト）,84,161,161,0
125801,リリ（フォールン）,86,161,161,84
126001,クリア（フォールン）,86,132,101,84
126101,プレシア（フォールン）,83,114,161,84
126201,イリヤ（儀装束）,92,161,161,131
126301,ユキ（儀装束）,84,161,161,0
126401,クローチェ,62,161,113,161
126501,ライラエル,83,161,161,161
126601,ネネカ（サマー）,84,156,161,0
126701,アキノ（サマー）,68,161,161,0
126801,ユカリ（サマー）,68,161,161,0
126901,ランファ（サマー）,84,161,161,0
127001,クウカ（サマー）,65,161,161,0
127101,シノブ（サマー）,68,161,180,0
127201,キャル（編入生）,84,180,161,0
127301,スズナ（編入生）,90,161,161,0
127501,サレン（サラサリア）,71,161,161,0
127601,ルカ（サラサリア）,71,161,161,0
127701,リンド,71,161,161,0
127801,ヴルム,65,53,161,161
127901,ペコリーヌ（クリスマス）,68,161,144,0
128001,クレジッタ（クリスマス）,71,161,161,0
128301,イノリ（ニューイヤー）,92,161,71,0
128401,ハツネ（ニューイヤー）,84,161,161,0
128501,カスミ（ニューイヤー）,84,110,161,0
128701,ヒヨリ（アストラル）,62,120,143,0
128801,レイ（アストラル）,71,155,161,0
128901,ユイ（アストラル）,84,161,161,0
129001,エリス,83,161,161,120
129301,ユニ（ウィンター）,84,161,161,120
129401,クロエ（ウィンター）,65,161,143,114
129501,チエル（ウィンター）,62,161,161,161
129601,アネモネ,68,161,161,150
129701,ネフィ＝ネラ,92,161,161,110
129801,マコト（コマンダー）,68,161,161,0
129901,エリコ（コマンダー）,71,161,161,0
130001,ヤマト,83,161,161,161
130101,ワカナ,84,161,161,140
130201,フブキ,68,161,161,0
130701,キョウカ（スプリング）,84,161,161,0
130801,スズメ（スプリング）,84,161,161,0
130901,クルル,84,161,161,0
131001,マホ（ドリームパーク）,84,161,161,0
131101,ネア（サマー）,65,156,161,0
131201,ミソラ（サマー）,71,72,161,161
131601,リリ（サマー）,71,161,161,0
131701,アメス（サマー）,83,161,150,0
131801,ホマレ（サマー）,84,143,161,107
131901,エミリア（サマー）,71,161,161,0
132001,エキドナ（サマー）,84,161,161,161
132101,レム（サマー）,90,120,161,0
132201,ノゾミ（アルケミスト）,84,161,161,0
132301,ルイズマリー,84,161,161,0
132401,イロハ,68,240,240,240
132501,ソノ,71,161,161,0
132801,ライラエル（クリスマス）,83,140,161,0
132901,イオ（クリスマス）,68,161,161,161
133001,グレイス,71,149,161,0
133101,ヴァイオレット,90,161,146,161
133201,モニカ（ニューイヤー）,71,161,161,0
133501,サレン（ニューイヤー）,71,161,158,0
133601,メドゥーサ,83,161,161,0
133701,ラビリスタ（アルファ）,68,161,161,0
133801,ネネカ（アルファ）,84,161,161,0
133901,クリスティーナ（アルファ）,71,150,161,0
134001,フィオ,83,161,161,0
134301,ランファ（儀装束）,84,161,161,0
134401,チカ（儀装束）,84,161,161,0
134501,クローチェ（エアリアル）,92,161,161,101
134601,アオイ（パイロット）,71,161,161,0
134701,ホウオウ,84,161,161,0
134801,ツムギ（ジオ・ゲヘナ）,62,161,161,0
134901,カノン,65,0,0,140
135001,エリス（サマー）,84,146,143,161
135101,シェフィ（サマー）,71,161,161,0
135201,プレシア（サマー）,84,161,161,0
135301,クリア（サマー）,71,161,161,0
135401,アネモネ（サマー）,65,161,161,0
135501,アイラ,65,161,161,65
135601,シナツ,71,161,161,0
135701,ヒヨリ（サラサリア）,62,161,161,0
135801,ユキノ,80,161,161,0
135901,サツキ,92,8,161,161
136001,アラクネ,92,176,161,161
136101,サクラ,86,161,161,161
136201,ナーナ,92,161,161,0
136301,ミソラ（クリスマス）,71,161,161,0
136401,ユイ（クリスマス）,84,161,161,161
136501,シズル（ニューイヤー）,68,161,161,0
137101,ニノン（サマー）,65,161,161,0
137401,カスミ（シスター）,84,161,161,161
137601,コッコロ（嚮導幼君）,92,161,161,0
137901,リノ（ニューイヤー）,90,161,155,0
138001,ヴァイオレット（イサナミ）,90,161,161,0
138101,ライラエル（パルフェクト）,80,161,161,161
138201,ネフィ＝ネラ（鬼面仏心）,92,161,161,0
138301,ペコリーヌ（アストライア）,77,161,161,0
138701,ワカナ（ウィンター）,84,161,161,0
170101,ジータ,78,161,140,0
180101,ヒヨリ（プリンセス）,62,150,161,0
180201,ユイ（プリンセス）,84,161,161,0
180301,レイ（プリンセス）,71,161,110,0
180401,ペコリーヌ（プリンセス）,68,161,161,0
180501,コッコロ（プリンセス）,71,161,161,0
180601,キャル（プリンセス）,84,161,161,0
180701,ハツネ＆シオリ,90,170,161,0
180801,ミソギ＆ミミ＆キョウカ,95,161,149,0
180901,アキノ＆サレン,86,161,161,0
181001,アン＆グレア,80,161,161,0
181101,シズル＆リノ,86,161,161,0
181201,シェフィ（プリンセス）,80,161,161,161
